SKU,Title,Image,Price,Category,Condition,Quantity
230732383959,"RESHARPENED MOON CUTTER CO. USA STAGGERED TOOTH CUTTER HSS 8""x3/8""x1-1/2""",,69.39,Saws & Blades,Used,1
330464938178,SANDVIK VARILOCK63 SINGLE EDGE BORING TOOL SHANK 391.38,,275,Carbide Inserts,New other (see details),1
230732386707,NEW SURPLUS KOMET Carbide INSERTS DRILL 35.00mm V1233500 ABS-50-KUB 01/35/70-R38,,255,Coolant,New other (see details),1
230732387198,"LIGHTLY USED METCUT STRAIGHT SHANK COOLANT REAMER 1.9855""",,69.39,Reamers,Used,1
230516697184,"KENNAMETAL T&C TAPPING CHUCK ""L"" SERIES 1.375"" SHANK",,99.39,Carbide Inserts,Used,1
231090173917,"RESHARPENED WAUKESHA SERIES ""D"" 2-1/32"" HSS SPADE BLADE DRILL INSERT 2.031""",,35,Carbide Inserts,Used,1
